,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5
39,17.85,26.4,10.25,1018.4000000000001,37.0,0.0,16.1,6.0,20.35,7.6000000000000005
40,18.45,23.55,13.65,1013.5,55.0,0.0,15.45,5.45,15.8,16.125
41,19.1,22.75,17.35,1014.15,76.0,0.0,10.1,6.2,14.100000000000001,15.699999999999998
42,17.6,20.7,15.85,1012.05,72.5,0.0,15.100000000000001,7.75,18.5,10.583333333333332
43,18.6,23.3,16.0,1011.35,69.0,0.0,12.100000000000001,7.800000000000001,18.55,18.270000000000003
44,19.75,22.9,18.1,1010.25,68.5,0.0,15.2,5.75,16.75,15.070000000000002
45,18.700000000000003,22.45,16.35,1019.3,60.5,9.655,16.1,5.75,21.2,11.849999999999998
46,16.95,21.15,14.15,1019.7,74.0,0.0,15.75,5.0,17.6,8.914285714285713
47,13.9,23.3,8.9,1021.7,74.0,0.0,14.3,6.1,22.2,11.6
48,15.5,25.55,10.0,1017.35,59.5,0.0,10.149999999999999,3.7,10.95,14.510526315789477
49,13.100000000000001,16.5,9.0,1014.0,60.5,0.0,16.1,6.4,19.45,8.811111111111112
50,14.6,18.049999999999997,11.4,1014.75,70.5,0.0,15.8,9.45,25.9,10.28
51,20.049999999999997,27.200000000000003,12.55,1014.2,30.0,0.0,16.1,6.949999999999999,20.4,7.258823529411765
52,18.85,23.05,14.45,1013.2,55.5,0.0,15.75,6.65,18.5,11.726315789473682
53,18.45,21.950000000000003,16.7,1014.0,76.0,0.0,11.8,6.75,14.899999999999999,13.833333333333334
54,17.549999999999997,20.25,16.4,1012.9000000000001,74.0,0.0,14.9,8.7,18.5,14.530000000000001
55,19.0,23.35,16.4,1012.45,65.0,0.0,15.5,7.25,17.6,11.95
56,19.6,21.700000000000003,18.049999999999997,1011.7,67.0,0.0,15.950000000000001,6.95,16.75,10.450000000000001
57,19.1,24.7,14.15,1019.2,55.5,0.0,16.1,5.8,17.7,10.913333333333332
58,16.6,20.3,13.95,1016.4000000000001,66.5,3.68,12.7,9.35,23.9,5.160000000000001
59,15.0,23.15,8.95,1020.3,57.0,0.0,16.1,3.45,13.0,15.566666666666666
60,18.35,24.5,12.0,1019.8,36.5,0.0,15.7,6.1,11.850000000000001,8.277777777777779
61,12.45,16.4,9.45,1014.75,75.5,7.745,15.15,7.199999999999999,21.3,10.212499999999999
62,13.05,16.65,9.15,1016.9,50.0,0.0,16.1,13.25,27.7,4.4350000000000005
63,17.65,25.25,13.9,1010.9,60.0,0.0,15.1,6.7,17.6,14.20909090909091
64,16.4,21.4,13.350000000000001,1014.65,64.5,0.0,16.0,8.5,22.35,9.444444444444445
65,18.65,22.25,16.7,1014.95,72.0,0.0,14.4,7.6,18.55,15.079999999999998
66,17.8,21.35,16.15,1012.95,74.0,0.0,12.55,6.25,15.850000000000001,19.62
67,18.549999999999997,23.05,15.85,1012.7,69.0,0.0,14.350000000000001,6.95,16.75,12.2
68,19.25,23.35,16.55,1012.5999999999999,64.5,0.0,15.950000000000001,8.85,17.65,8.93
69,21.0,27.75,15.3,1018.3,58.5,0.0,16.1,5.7,17.6,14.744444444444444
70,15.100000000000001,20.3,9.4,1015.75,42.0,2.285,14.4,9.15,25.0,9.11
71,14.1,20.3,9.5,1019.7,68.5,0.0,15.3,3.0,12.95,23.5
72,14.4,20.0,10.6,1019.0,82.0,0.0,10.5,0.6,7.6,19.88125
73,14.55,18.95,11.55,1019.95,79.5,1.775,10.35,7.4,20.4,15.200000000000001
74,14.7,21.0,9.0,1018.0,64.5,0.0,15.350000000000001,3.9000000000000004,13.8,13.1
75,14.0,18.15,9.95,1016.25,67.5,0.0,15.45,6.55,15.850000000000001,9.419999999999998
76,13.75,18.049999999999997,9.45,1015.1,59.5,5.08,15.950000000000001,10.2,25.0,11.31
77,17.6,22.5,12.8,1012.85,63.0,0.0,15.9,6.05,19.45,15.06666666666667
78,18.6,22.5,16.15,1016.5,70.0,0.0,14.4,5.85,17.6,14.257894736842104
79,20.75,26.65,16.7,1012.3,63.0,0.0,15.950000000000001,8.45,22.3,11.08421052631579
80,18.35,23.1,15.85,1010.5999999999999,72.5,0.0,13.55,8.05,18.6,10.38
81,17.85,23.5,14.95,1013.95,72.5,0.0,13.4,6.6,17.7,12.922222222222222
82,19.6,24.35,17.85,1016.0,76.0,0.0,8.649999999999999,5.95,15.850000000000001,20.029999999999998
83,17.549999999999997,26.4,10.6,1020.95,30.0,0.0,16.1,4.0,12.95,9.25
84,22.1,26.0,19.0,1016.3,36.0,0.0,16.1,8.7,18.3,10.406666666666666
85,16.15,22.65,10.8,1020.05,46.5,1.905,15.55,8.35,20.4,10.350000000000001
86,17.0,26.1,10.55,1016.4000000000001,49.0,0.0,16.1,4.35,15.0,11.129999999999999
87,14.05,19.85,9.2,1015.95,58.0,0.0,16.1,5.0,19.4,9.290000000000003
88,14.75,19.450000000000003,10.55,1015.15,64.5,0.0,16.0,6.6000000000000005,19.4,10.105
89,16.85,21.700000000000003,13.850000000000001,1013.7,67.0,0.0,14.65,6.4,15.850000000000001,16.784210526315793
90,18.25,23.1,15.5,1015.25,76.0,0.0,10.9,7.6,19.45,17.577777777777776
91,23.15,29.7,17.55,1010.55,54.0,0.0,16.1,8.45,21.4,12.52
92,18.35,22.75,15.5,1010.9000000000001,71.5,0.0,14.9,8.35,20.4,9.65
93,21.950000000000003,25.55,19.45,1014.1,52.5,0.0,15.55,8.7,19.45,10.857142857142858
94,19.0,22.5,17.15,1017.1,77.5,0.0,4.85,4.25,15.0,30.93125
95,18.4,25.3,11.05,1016.35,32.0,0.0,16.1,4.25,14.7,9.129999999999999
96,13.3,23.65,11.149999999999999,1014.75,84.0,0.0,5.800000000000001,4.1499999999999995,12.95,25.011111111111113
97,16.25,23.7,10.5,1020.75,34.0,0.0,16.1,2.9000000000000004,9.2,10.81111111111111
98,18.5,26.950000000000003,12.8,1015.05,40.0,0.0,16.1,4.15,13.0,10.540000000000001
99,16.85,26.1,9.4,1019.55,37.0,0.0,16.0,5.300000000000001,18.5,8.183333333333332
100,15.7,20.55,11.399999999999999,1015.55,66.0,0.0,16.0,7.05,19.4,12.4
101,16.25,20.25,13.65,1014.8,71.0,12.32,9.95,6.3999999999999995,15.8,22.59090909090909
102,19.4,24.15,16.0,1011.2,70.5,0.0,12.399999999999999,7.050000000000001,16.75,18.477777777777778
103,24.35,29.7,19.45,1010.8,53.5,0.0,16.1,6.3999999999999995,17.7,15.4
104,18.4,23.6,15.3,1011.95,72.0,0.0,14.25,7.55,17.65,9.219999999999999
105,18.1,25.0,14.75,1014.15,67.5,0.0,13.6,6.65,14.899999999999999,12.35
106,18.950000000000003,21.8,17.55,1017.3,77.5,0.0,7.85,4.8,15.850000000000001,31.27777777777778
107,17.9,25.0,11.95,1015.7,44.0,0.0,16.0,4.5,11.2,12.919999999999998
108,13.4,16.0,12.4,1014.2,79.0,0.0,9.2,5.35,11.2,18.233333333333334
109,13.8,17.2,11.7,1013.6,79.0,0.76,13.5,0.9,5.4,8.950000000000001
110,12.95,16.7,10.85,1007.5,78.5,23.115000000000002,14.1,10.850000000000001,33.25,10.0875
111,14.25,16.85,12.9,1013.45,68.5,0.0,14.05,6.3,17.6,11.661111111111111
112,15.95,22.75,12.25,1014.1,72.5,0.0,13.1,6.55,20.25,15.712499999999999
113,16.9,20.799999999999997,13.1,1013.7,68.5,0.0,14.65,7.15,18.5,14.040000000000001
114,16.15,20.0,13.9,1016.4000000000001,78.0,0.38,11.2,7.7,17.6,13.1
115,18.799999999999997,22.75,15.8,1015.35,65.0,0.0,15.55,8.05,20.4,11.777777777777779
116,21.9,26.95,19.0,1012.0999999999999,67.5,0.0,14.15,7.35,14.100000000000001,14.544999999999998
117,23.6,29.450000000000003,19.700000000000003,1010.65,54.0,0.0,16.1,6.85,17.6,11.14
118,18.25,23.6,13.95,1011.05,73.5,0.0,9.2,5.25,18.6,14.85
119,18.85,22.15,17.4,1012.65,73.5,0.38,15.45,5.1499999999999995,16.6,13.100000000000001
120,14.9,17.5,13.350000000000001,1016.45,75.0,0.0,12.95,4.65,15.8,18.220000000000002
121,15.3,17.2,13.9,1013.5,93.0,61.21,4.2,20.2,38.9,3.62
122,12.25,15.0,10.0,1004.85,79.5,16.89,13.600000000000001,11.95,28.6,7.239999999999999
123,13.55,16.5,11.0,1011.4,69.0,3.8099999999999996,15.600000000000001,7.6,19.45,5.822222222222222
124,17.3,25.549999999999997,11.95,1018.8499999999999,62.5,0.0,13.45,6.6,15.850000000000001,16.6875
125,15.85,20.0,13.600000000000001,1014.1,73.0,0.0,14.45,8.15,19.45,6.357894736842106
126,17.700000000000003,23.1,13.9,1013.45,70.0,0.0,13.9,6.300000000000001,16.65,10.41764705882353
127,19.1,23.6,15.0,1015.35,64.0,0.0,16.1,7.5,19.4,12.660000000000002
128,20.9,25.299999999999997,18.6,1011.3,72.0,0.0,11.2,5.95,15.850000000000001,16.990000000000002
129,21.15,27.75,17.5,1008.8,61.5,0.0,16.1,7.45,17.6,12.1
130,19.4,23.9,15.3,1007.95,71.0,0.0,15.600000000000001,6.1,14.100000000000001,13.576923076923075
131,18.299999999999997,19.5,17.0,1013.3,79.5,2.415,13.7,6.45,18.6,7.16875
132,15.1,17.0,13.0,1013.1,77.0,0.38,14.899999999999999,8.15,17.6,5.58
133,13.95,16.6,12.9,1009.8,92.0,46.61,8.1,6.3,20.25,5.929999999999999
134,11.600000000000001,14.4,10.3,993.8499999999999,80.5,29.975,13.55,12.75,34.35,4.949999999999999
135,14.7,17.5,12.5,1014.6,70.0,0.0,16.1,9.799999999999999,26.85,5.577777777777778
136,15.549999999999999,22.85,11.05,1020.55,71.0,0.0,7.45,3.95,16.75,15.915789473684208
137,13.25,17.75,9.75,1010.7,58.0,3.175,16.1,19.45,35.0,4.6090909090909085
138,18.25,21.950000000000003,14.700000000000001,1011.0999999999999,63.5,0.0,14.65,8.6,22.95,14.1625
139,18.4,22.05,15.2,1014.5,66.5,0.0,15.75,9.05,19.45,13.24
140,19.4,23.65,17.200000000000003,1011.35,74.0,0.0,12.0,6.7,15.8,14.56666666666667
141,20.5,26.4,16.7,1009.65,63.5,0.0,16.1,7.25,20.25,9.943750000000003
142,18.299999999999997,21.4,16.3,1007.45,74.5,0.0,8.45,4.3500000000000005,12.05,21.650000000000002
143,18.4,20.0,17.35,1017.45,76.0,1.27,15.65,8.6,17.65,9.93
144,13.2,16.6,9.8,1014.6500000000001,67.5,2.54,15.5,12.4,27.75,7.87
145,13.149999999999999,16.4,11.7,1011.8,90.5,34.8,11.35,6.55,19.4,6.5
146,14.1,16.0,11.0,1009.4,90.0,23.37,10.3,4.1,14.8,5.346666666666667
147,12.35,18.6,7.25,1018.65,63.0,0.0,16.1,4.3,15.8,15.799999999999999
148,14.55,19.700000000000003,11.7,1019.95,75.5,0.125,10.850000000000001,6.3,14.899999999999999,10.011111111111113
149,14.55,20.3,12.25,1018.75,69.5,0.0,14.1,6.2,19.45,16.266666666666666
150,15.25,20.55,11.85,1017.25,74.0,0.0,12.05,7.199999999999999,17.65,19.470000000000002
151,15.45,20.25,11.399999999999999,1015.9000000000001,64.0,0.0,16.1,10.1,26.75,7.677777777777779
152,19.3,23.55,16.3,1013.0999999999999,70.0,0.0,13.0,7.1,18.6,13.819999999999997
153,19.049999999999997,23.1,16.4,1012.35,72.0,0.0,14.5,8.35,18.5,11.454999999999998
154,22.700000000000003,29.150000000000002,19.200000000000003,1010.3,60.5,0.0,15.6,7.8999999999999995,18.6,16.6
155,24.65,32.8,17.5,1012.7,48.5,0.0,15.75,5.4,17.65,14.290000000000001
156,19.25,23.6,16.15,1013.8,66.5,4.825,10.55,10.4,18.5,6.67
157,11.35,16.95,5.6,1018.7,48.0,0.0,16.1,4.8,10.95,13.366666666666667
158,12.4,18.9,8.3,1017.4,86.0,0.0,12.6,7.8,22.2,22.861538461538466
159,12.5,15.55,8.15,1014.5,71.0,1.655,15.45,6.2,21.45,16.257894736842104
160,16.35,22.35,12.6,1019.0,62.5,0.0,16.0,5.45,15.8,11.42
161,15.45,20.9,11.35,1017.9,58.0,0.0,16.1,8.15,17.6,8.577777777777778
162,14.75,19.15,12.25,1014.0999999999999,79.0,0.0,6.85,7.5,16.75,23.840000000000003
163,16.1,19.450000000000003,12.3,1015.05,70.0,0.0,15.850000000000001,8.45,18.5,6.376923076923077
164,18.950000000000003,22.75,16.950000000000003,1013.2,69.0,0.0,15.9,7.85,17.6,11.97
165,18.35,21.95,16.5,1012.2,73.0,0.0,13.850000000000001,7.35,18.5,15.855555555555554
166,21.25,26.700000000000003,18.05,1010.85,64.0,0.0,15.6,7.4,16.75,14.169999999999998
167,25.75,35.6,18.6,1009.55,43.0,0.0,16.0,4.35,15.850000000000001,13.253333333333332
168,18.15,22.95,13.45,1012.05,51.0,0.0,16.1,7.75,20.4,8.15
169,12.350000000000001,20.0,6.95,1022.7,27.5,0.0,16.1,5.15,13.0,11.77
170,13.05,18.049999999999997,9.15,1019.3,72.5,18.415,12.899999999999999,7.8999999999999995,22.3,7.222222222222222
171,14.25,19.45,10.7,1012.2,65.0,3.43,15.600000000000001,5.65,19.45,9.275
172,15.3,20.549999999999997,12.8,1010.8,77.0,2.03,13.7,10.45,25.0,6.437500000000001
173,18.45,28.05,11.149999999999999,1018.0,37.0,0.0,16.1,7.6,18.55,8.347368421052632
174,14.8,17.55,12.8,1013.8,78.5,0.0,7.9,5.8,17.65,23.479999999999997
175,16.25,19.75,13.600000000000001,1014.85,72.0,0.0,15.15,7.6,18.6,6.8875
176,19.15,23.35,16.9,1010.75,70.5,0.0,13.2,6.3,14.899999999999999,16.419999999999998
177,17.75,21.4,16.3,1012.7,72.0,0.0,14.8,7.6,16.75,14.95
178,19.85,24.55,16.8,1010.2,69.0,0.0,13.15,6.0,15.850000000000001,14.366666666666667
179,29.450000000000003,42.5,21.4,1007.15,31.5,0.0,16.1,4.3,13.8,16.8
180,19.5,28.35,12.8,1014.05,32.0,0.0,16.1,7.6,18.6,8.11111111111111
181,11.3,18.6,5.3,1017.2,44.0,0.0,16.1,4.55,17.65,14.84
182,12.7,19.15,6.65,1020.6,59.0,0.0,16.1,3.9,19.45,11.7375
183,13.0,19.0,8.0,1017.7,54.0,0.0,16.1,0.9,7.6,12.421428571428573
184,12.6,17.85,7.9,1013.9,74.0,0.0,12.5,5.55,14.100000000000001,22.38888888888889
185,15.0,17.9,12.9,1012.05,61.5,0.0,16.1,10.9,24.05,7.55
186,19.2,24.700000000000003,15.0,1013.2,63.5,0.0,15.7,7.85,18.55,13.644444444444444
187,18.75,24.35,16.0,1013.95,73.0,0.0,10.600000000000001,5.55,15.8,15.352380952380955
188,19.950000000000003,25.3,15.55,1013.05,61.5,0.0,15.850000000000001,5.5,17.65,13.63
189,15.8,19.0,12.0,1019.85,72.0,2.92,16.0,6.199999999999999,16.75,10.52
190,9.4,13.9,3.9,1014.3,32.0,0.0,16.1,9.8,22.2,13.319999999999999
365,10.55,15.3,5.45,1021.8,38.0,0.0,16.0,5.9,12.05,22.36
366,14.05,17.5,8.850000000000001,1018.05,66.5,0.0,16.0,4.25,10.95,14.511111111111111
367,11.5,17.5,6.4,1021.2,59.5,0.0,16.1,6.6,20.35,12.538461538461537
368,21.6,30.0,15.25,1010.5999999999999,54.0,0.0,16.0,5.449999999999999,15.850000000000001,11.5
369,22.1,27.75,13.600000000000001,1016.9,13.5,0.0,16.0,8.200000000000001,23.25,4.4714285714285715
370,15.55,19.75,11.95,1017.0999999999999,65.0,0.0,16.1,8.6,25.0,8.2625
371,21.55,27.2,16.95,1008.85,65.0,0.0,16.1,7.199999999999999,18.5,12.114285714285714
372,20.85,26.65,17.5,1013.65,66.5,0.0,16.1,8.549999999999999,21.4,10.76
373,18.200000000000003,23.299999999999997,15.3,1010.2,75.5,0.0,12.55,6.3,14.899999999999999,19.439999999999998
374,19.85,27.2,15.3,1013.05,70.5,0.125,15.850000000000001,7.2,21.2,12.370000000000001
375,15.15,19.45,12.8,1013.55,82.0,0.0,5.85,4.0,12.95,36.3875
376,15.75,20.0,10.0,1008.65,24.5,0.0,15.350000000000001,18.55,32.400000000000006,10.944444444444446
377,10.2,15.0,8.35,1021.2,47.0,2.92,15.3,6.95,17.700000000000003,12.23
378,12.25,17.4,6.5,1021.7,46.0,0.0,15.600000000000001,5.1,15.0,9.262500000000001
379,12.8,17.5,8.5,1021.55,62.0,0.0,16.1,4.8,15.850000000000001,12.555555555555554
380,17.45,27.200000000000003,15.6,1011.2,76.5,0.0,14.149999999999999,6.699999999999999,16.75,13.244444444444445
381,21.950000000000003,30.0,14.7,1020.55,19.0,0.0,16.1,7.5,22.35,5.985714285714286
382,16.25,21.65,12.5,1016.9000000000001,58.5,0.0,16.1,11.35,23.2,7.6
383,21.6,26.95,18.05,1006.55,69.5,0.0,14.65,6.75,18.6,15.770588235294115
384,21.3,26.35,17.75,1012.25,63.5,0.0,16.1,5.95,18.5,11.3
385,17.15,21.7,14.2,1011.05,80.5,0.0,10.3,7.6000000000000005,16.75,19.88
386,21.15,26.4,16.4,1013.7,62.0,0.0,16.1,6.2,18.5,10.819999999999999
387,17.950000000000003,28.35,11.35,1016.1,40.5,0.0,9.0,3.2,9.2,12.194117647058825
388,14.3,18.85,6.65,1013.6500000000001,43.5,0.0,16.1,5.4,19.4,14.988235294117645
389,8.899999999999999,14.0,7.0,1016.8499999999999,82.0,13.59,13.9,8.8,15.850000000000001,6.894736842105263
390,11.25,16.95,4.45,1028.7,25.5,0.0,16.1,4.5,11.850000000000001,10.088888888888889
391,13.55,17.35,10.5,1021.9,82.0,4.445,8.95,6.1000000000000005,15.8,14.133333333333333
392,16.05,18.85,14.15,1015.15,72.0,0.0,16.0,7.2,17.6,7.21578947368421
393,23.3,32.25,15.55,1016.95,21.5,0.0,15.950000000000001,7.5,19.45,8.576470588235296
394,18.0,23.299999999999997,13.1,1012.8,59.0,0.0,16.0,9.05,24.05,9.749999999999998
395,20.5,24.75,17.1,1007.3,75.0,0.0,12.3,7.5,16.65,20.3
396,20.75,25.799999999999997,16.4,1010.65,65.5,0.0,15.75,6.5,16.75,12.222222222222221
397,17.200000000000003,21.9,14.15,1011.45,78.0,0.0,13.850000000000001,8.55,20.4,12.947058823529414
398,19.9,25.0,16.7,1013.4000000000001,64.0,0.0,16.1,7.2,20.55,7.858823529411764
399,18.4,28.049999999999997,11.649999999999999,1015.85,22.0,0.0,16.1,6.5,10.95,11.3
400,13.350000000000001,18.05,7.5,1016.0,45.0,0.0,16.1,6.85,17.6,11.889999999999999
401,13.55,20.3,9.7,1017.65,62.5,0.0,15.75,3.5999999999999996,10.95,20.290000000000003
402,16.85,25.25,10.6,1020.65,54.5,0.0,15.7,3.25,15.8,13.660000000000002
403,14.600000000000001,18.0,12.0,1012.55,75.0,0.0,14.65,14.55,31.5,4.907142857142857
404,15.6,19.7,14.15,1013.5,71.0,0.0,15.2,11.3,36.2,9.05
405,15.7,17.799999999999997,14.5,1012.85,77.0,0.0,13.4,6.75,15.0,20.299999999999997
406,17.3,22.5,13.350000000000001,1014.4000000000001,68.5,0.0,16.1,10.0,21.4,9.3625
407,22.35,28.35,19.7,1012.5,71.0,0.0,15.55,7.5,16.75,14.622222222222225
408,18.1,23.6,15.3,1013.5,78.0,0.0,8.75,6.45,15.649999999999999,15.554999999999998
409,24.75,31.65,19.450000000000003,1011.9,55.0,0.0,16.0,5.3500000000000005,15.8,16.236363636363635
410,16.45,21.4,11.7,1015.6500000000001,62.5,0.0,16.1,6.95,20.25,8.870000000000001
411,12.2,17.25,7.25,1017.9,65.0,9.905000000000001,16.1,5.9,16.75,12.110000000000001
412,11.85,18.6,3.9,1023.3,30.0,0.0,16.1,4.45,14.100000000000001,13.022222222222222
413,12.2,15.850000000000001,10.3,1015.55,79.0,0.0,12.35,4.55,12.95,21.97
414,15.25,22.2,11.85,1012.95,73.0,0.0,13.45,5.9,16.75,14.747058823529414
415,15.75,20.85,10.85,1016.3,37.0,0.0,16.1,14.399999999999999,29.5,8.299999999999999
416,11.5,16.15,8.05,1009.85,53.0,0.0,16.1,14.7,25.0,4.45
417,16.549999999999997,19.4,15.0,1013.2,70.0,0.0,16.1,8.35,23.25,8.088888888888889
418,17.15,20.0,15.6,1014.5,73.5,0.0,15.850000000000001,6.1000000000000005,14.899999999999999,11.933333333333334
419,21.799999999999997,26.65,18.6,1010.55,71.0,0.0,15.700000000000001,7.4,15.850000000000001,12.76842105263158
420,18.85,24.15,15.55,1013.1,75.0,0.0,12.149999999999999,5.35,14.899999999999999,19.58888888888889
421,23.5,30.25,20.2,1013.1500000000001,61.5,0.0,14.950000000000001,4.95,15.8,15.13
422,17.299999999999997,23.049999999999997,12.5,1016.75,57.5,0.0,16.1,6.6000000000000005,20.25,11.290000000000001
423,13.3,20.3,8.05,1022.75,54.0,0.0,16.1,4.8,15.0,11.88125
424,12.149999999999999,19.15,4.449999999999999,1018.3,46.5,0.0,16.1,4.35,11.850000000000001,18.000000000000004
425,12.75,14.7,10.55,1015.3,70.5,0.0,15.65,4.25,12.95,20.463157894736845
426,14.5,21.65,9.15,1017.0,55.0,12.19,14.8,3.5,12.95,7.81
427,17.700000000000003,28.299999999999997,11.7,1020.55,42.0,0.0,16.1,5.3999999999999995,15.8,7.92
428,11.0,15.55,6.95,1012.75,53.0,0.0,16.1,9.0,23.25,6.363157894736843
429,15.1,19.450000000000003,12.5,1011.55,61.5,0.0,15.950000000000001,11.2,26.85,5.963157894736843
430,16.35,18.299999999999997,15.3,1015.75,77.0,0.0,16.1,8.8,15.65,17.977777777777778
431,20.8,25.25,18.05,1009.7,74.5,0.0,14.55,7.85,15.8,15.125000000000002
432,19.05,24.75,16.15,1012.65,74.5,0.0,9.35,6.199999999999999,15.8,22.200000000000003
433,21.75,27.5,18.35,1010.5,64.5,0.0,15.15,7.0,19.45,15.28823529411765
434,18.799999999999997,25.55,13.3,1013.95,53.0,0.0,16.1,4.7,13.0,9.34375
435,15.35,25.0,8.05,1022.7,36.0,0.0,16.1,5.55,14.100000000000001,10.819999999999997
436,12.3,19.75,4.75,1019.2,54.0,0.0,15.9,3.5999999999999996,12.95,23.669999999999998
437,16.200000000000003,23.1,11.0,1023.1,34.5,0.0,16.1,5.65,15.0,7.644444444444444
438,15.8,26.15,10.0,1020.3,36.5,0.0,16.1,5.75,15.65,13.7
439,14.0,18.9,10.3,1020.25,74.5,0.0,14.55,4.75,22.15,14.993750000000002
440,14.7,18.05,11.85,1018.6,68.5,0.0,15.850000000000001,9.4,19.4,11.233333333333336
441,17.6,21.35,14.15,1015.4000000000001,69.0,0.0,15.45,5.8,17.6,15.688888888888888
442,17.8,21.4,15.0,1013.95,71.0,0.0,15.600000000000001,6.95,18.5,15.288888888888888
443,19.6,23.6,17.5,1013.4000000000001,69.0,0.0,16.0,7.95,19.4,12.1875
444,19.1,23.9,16.7,1012.65,76.5,0.0,13.7,6.65,17.6,15.349999999999998
445,19.799999999999997,24.75,16.95,1015.85,75.5,0.0,15.850000000000001,7.3,20.4,14.11
446,26.5,35.0,18.9,1009.05,34.0,0.0,16.1,4.45,15.0,13.81111111111111
447,16.5,21.4,11.95,1010.75,62.0,0.125,16.1,4.7,18.5,10.45
448,11.35,16.7,8.6,1011.55,71.0,20.064999999999998,15.700000000000001,7.4,18.5,10.600000000000001
449,17.15,26.4,10.85,1019.5,46.0,0.0,16.1,3.05,14.8,11.100000000000001
450,13.7,19.45,9.7,1021.85,73.0,0.0,12.15,5.25,15.850000000000001,16.359999999999996
451,14.8,20.799999999999997,10.6,1021.4000000000001,71.5,0.0,16.1,6.300000000000001,20.25,11.663636363636364
452,16.35,22.75,11.1,1022.15,45.5,0.0,16.1,10.1,23.150000000000002,15.744444444444444
